сервер,id,название,тема,семейство,шагов,оцениваемых,курсы,флаги,создан,сюжет,проверяется,верно
tech2,1713,2026 Нейрохирургия 131. Кровоизлияние в мозжечок,Нейрохирургический клинический сценарий. Case 14. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,"Мужчина 68 лет с артериальной гипертензией и фибрилляцией предсердий, принимающий варфарин, доставлен с внезапной атаксией, рвотой, головокружением. Цель сценар",Лабораторные исследования; Инструментальные исследования,"Гипертензивное кровоизлияние в мозжечок; Коагулограмма (ПВ/МНО, АЧТВ); Общий анализ крови; Биохимический анализ крови"
tech2,1712,2026 Нейрохирургия 130. Гипертензивное кровоизлияние в таламус,Нейрохирургический клинический сценарий. Case 13. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,Женщина 71 года с длительной артериальной гипертензией доставлена с внезапным развитием левостороннего гемисиндрома и угнетением сознания. Цель сценария — прове,Лабораторные исследования; Инструментальные исследования,"Гипертензивное кровоизлияние в таламус; Общий анализ крови; Коагулограмма (ПВ/МНО, АЧТВ); Биохимический анализ крови, токсикологический скрининг"
tech2,1711,2026 Нейрохирургия 129. Спинальная дуральная артериовенозная фистула,Нейрохирургический клинический сценарий. Case 8. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,Мужчина 62 лет обратился с постепенно нарастающей слабостью в ногах и нарушением мочеиспускания в течение года. Цель сценария — провести дифференциальную диагно,Лабораторные исследования; Инструментальные исследования,"Спинальная дуральная артериовенозная фистула; Общий анализ крови; Коагулограмма (ПВ/МНО, АЧТВ); Биохимический анализ крови (креатинин, электролиты)"
tech2,1710,2026 Нейрохирургия 128. Спинальная артериовенозная мальформация грудного отдела,Нейрохирургический клинический сценарий. Case 6. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,Мужчина 38 лет обратился с прогрессирующей болью в спине и нарастающей слабостью в ногах в течение 6 недель. Цель сценария — провести дифференциальную диагности,Лабораторные исследования; Инструментальные исследования,"Спинальная артериовенозная мальформация грудного отдела; Общий анализ крови; Коагулограмма (ПВ/МНО, АЧТВ); Биохимический анализ крови (электролиты, креатинин)"
tech2,1709,2026 Нейрохирургия 127. Фузиформная аневризма интрадуральной части внутренней сонной артерии,Нейрохирургический клинический сценарий. Case 5. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,Мужчина 44 лет обратился с нарастающими головными болями и повторными эпизодами преходящих нарушений мозгового кровообращения (ТИА) в бассейне левой средней моз,Лабораторные исследования; Инструментальные исследования,"Фузиформная аневризма интрадуральной части внутренней сонной артерии; Общий анализ крови; Липидный профиль (холестерин, ЛПНП, ЛПВП, триглицериды); Коагулограмма (ПВ/МНО, АЧТВ)"
tech2,1708,2026 Нейрохирургия 107. Вестибулярная шваннома,Нейрохирургический клинический сценарий. Case 19. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-06-01,Женщина 48 лет обратилась с прогрессирующим односторонним снижением слуха и шумом в ухе. Цель сценария — диагностика образования мостомозжечкового угла (вестибу,Лабораторные исследования; Инструментальные исследования,"Вестибулярная шваннома (невринома слухового нерва); Общий анализ крови; Коагулограмма (ПВ/МНО, АЧТВ); Биохимия + креатинин/рСКФ (перед контрастной МРТ/операцией)"
tech2,1707,[archived] 1707,,Прочее,23,23,,"выключен, архив",2026-06-01,Женщина 48 лет обратилась с прогрессирующим односторонним снижением слуха и шумом в ухе. Цель сценария — диагностика образования мостомозжечкового угла (вестибу,Лабораторные исследования; Инструментальные исследования,"Вестибулярная шваннома (невринома слухового нерва); Общий анализ крови; Коагулограмма (ПВ/МНО, АЧТВ); Биохимия + креатинин/рСКФ (перед контрастной МРТ/операцией)"
tech2,1705,2026 Нейрохирургия 126. Мальформация Киари I,Нейрохирургический клинический сценарий. Case 34. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,"Клинический случай: девочка 14 лет с мальформацией Киари I и сирингомиелией. Цель теста — оценка симптомов, диагностики и лечения. Источник: Case 34, '100 Case ",Лабораторные исследования; Инструментальные исследования,Мальформация Киари I (Верный диагноз); Общий анализ крови; Биохимический анализ крови; Коагулограмма
tech2,1704,2026 Нейрохирургия 125. Идиопатическая внутричерепная гипертензия,Нейрохирургический клинический сценарий. Case 79. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Клинический случай женщины 28 лет с нарастающей головной болью и снижением зрения. Цель теста — оценка и лечение идиопатической внутричерепной гипертензии. Исто,Лабораторные исследования; Инструментальные исследования,Идиопатическая внутричерепная гипертензия; Анализ ЦСЖ на глюкозу; Цитология ЦСЖ; Культура ЦСЖ на бактерии
tech2,1703,2026 Нейрохирургия 124. Мезиальный височный склероз,Нейрохирургический клинический сценарий. Case 76. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Клинический случай: женщина 32 лет с фармакорезистентной эпилепсией и сложными парциальными припадками. Цель теста: оценка и лечение мезиального височного склер,Лабораторные исследования; Инструментальные исследования,Мезиальный височный склероз (Верный диагноз); Уровень антиэпилептических препаратов в крови; Общий анализ крови; Биохимический анализ крови
tech2,1702,2026 Нейрохирургия 123. Болезнь Паркинсона и глубокая стимуляция мозга,Нейрохирургический клинический сценарий. Case 74. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,"Мужчина 64 лет с болезнью Паркинсона на протяжении 10 лет. Основные симптомы: тремор покоя, ригидность, брадикинезия. Несмотря на максимальную дозу леводопы, на",Лабораторные исследования; Инструментальные исследования,Болезнь Паркинсона; Уровень витамина B12; Тиамин (витамин B1); Печеночные ферменты (LFTs)
tech2,1701,2026 Нейрохирургия 122. Невралгия тройничного нерва,Нейрохирургический клинический сценарий. Case 72. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Клинический случай: Женщина 67 лет с интенсивными приступообразными болями в правой половине лица. Цель теста: определить правильный диагноз и тактику лечения. ,Лабораторные исследования; Инструментальные исследования,Невралгия тройничного нерва; Общий анализ крови; Биохимический анализ крови; Коагулограмма
tech2,1700,2026 Нейрохирургия 121. Метастатическое поражение позвоночника,Нейрохирургический клинический сценарий. Case 55. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,"Пациентка 63 лет с раком почки, жалуется на прогрессирующую боль в пояснице и слабость в ногах. МРТ выявило метастатическое поражение L2 с патологическим перело",Лабораторные исследования; Инструментальные исследования,Метастатическое поражение позвоночника (Верный диагноз); Общий анализ крови; С-реактивный белок (CRP); Скорость оседания эритроцитов (СОЭ)
tech2,1699,2026 Нейрохирургия 120. Эпидуральный абсцесс позвоночника,Нейрохирургический клинический сценарий. Case 54. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Мужчина 48 лет с наркоманией и лихорадкой 39°C жалуется на нарастающую боль в грудном отделе позвоночника и слабость в ногах. МРТ с контрастированием выявило эп,Лабораторные исследования; Инструментальные исследования,Эпидуральный абсцесс позвоночника; Общий анализ крови; С-реактивный белок; Посев крови на стерильность
tech2,1698,2026 Нейрохирургия 119. Парамедианная грыжа диска L4–L5 с компрессией корешка L4,Нейрохирургический клинический сценарий. Case 52. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Мужчина 52 лет с острой болью по наружной поверхности левой ноги и слабостью разгибателей стопы. Цель теста — определить правильную тактику диагностики и лечени,Лабораторные исследования; Инструментальные исследования,Парамедианная грыжа диска L4–L5 с компрессией корешка L4; Общий анализ крови; Коагулограмма; ЭКГ
tech2,1697,2026 Нейрохирургия 118. Синдром конского хвоста,Нейрохирургический клинический сценарий. Case 51. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,"Клинический случай: Мужчина 45 лет с острой болью в пояснице, иррадиирующей в обе ноги, задержкой мочеиспускания и онемением промежности. Цель теста: оценка диа",Лабораторные исследования; Инструментальные исследования,Синдром конского хвоста; Общий анализ крови; Биохимический анализ крови; Коагулограмма
tech2,1696,2026 Нейрохирургия 117. Шейная спондилотическая миелопатия,Нейрохирургический клинический сценарий. Case 50. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Пациент 58 лет с жалобами на нарастающую слабость в руках и нарушение мелкой моторики в течение 6 месяцев. На МРТ выявлен многоуровневый стеноз шейного канала с,Лабораторные исследования; Инструментальные исследования,Шейная спондилотическая миелопатия; Общий анализ крови; Коагулограмма; Глюкоза крови
tech2,1695,2026 Нейрохирургия 116. Взрывной перелом L1 с ретропульсией,Нейрохирургический клинический сценарий. Case 45. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,"Клинический случай: Мужчина 40 лет, падение с высоты 3 м, боль в поясничном отделе, параплегия. Цель теста: оценка и лечение взрывного перелома L1. Источник: Ca",Лабораторные исследования; Инструментальные исследования,Взрывной перелом L1 с ретропульсией (Верный диагноз); Общий анализ крови; Биохимический анализ крови; Коагулограмма
tech2,1694,2026 Нейрохирургия 115. Подвывих шейного отдела позвоночника с компрессией спинного мозга,Нейрохирургический клинический сценарий. Case 42. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,"Мужчина 35 лет поступил после ДТП с жалобами на боль в шее, слабость и онемение в руках. КТ показала подвывих С5–С6 с нарушением колонны, а МРТ выявила компресс",Лабораторные исследования; Инструментальные исследования,Подвывих шейного отдела позвоночника с компрессией спинного мозга; Общий анализ крови; Коагулограмма; С-реактивный белок (CRP)
tech2,1693,2026 Нейрохирургия 114. Проникающее огнестрельное ранение головы,Нейрохирургический клинический сценарий. Case 38. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,"Пациент — мужчина 28 лет, поступил с огнестрельным проникающим ранением головы. Уровень сознания по шкале Глазго — 9 баллов. На КТ выявлено инородное тело метал",Лабораторные исследования; Инструментальные исследования,Проникающее огнестрельное ранение головы; Общий анализ крови; Коагулограмма; Биохимический анализ крови
tech2,1692,2026 Нейрохирургия 113. Хроническая субдуральная гематома,Нейрохирургический клинический сценарий. Case 41. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,"Пациент: мужчина 78 лет с деменцией и прогрессирующей слабостью в правой руке в течение 3 недель, а также пошатыванием при ходьбе. КТ показала изо-/гиподенсную ",Лабораторные исследования; Инструментальные исследования,Хроническая субдуральная гематома; Общий анализ крови; Коагулограмма; Тест на тромбоэластографию
tech2,1691,2026 Нейрохирургия 112. Эпидуральная гематома,Нейрохирургический клинический сценарий. Case 40. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Мужчина 22 лет поступил после ДТП с потерей сознания и последующим 'светлым промежутком'. Цель теста — оценка и лечение эпидуральной гематомы. Источник: Case 40,Лабораторные исследования; Инструментальные исследования,Эпидуральная гематома; Общий анализ крови; Коагулограмма; Электролиты крови
tech2,1690,2026 Нейрохирургия 111. Метастазы в головной мозг,Нейрохирургический клинический сценарий. Case 31. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Женщина 61 года с анамнезом рака молочной железы в ремиссии 4 года. Острое развитие правостороннего гемипареза. МРТ выявило три очага с перифокальным отёком и к,Лабораторные исследования; Инструментальные исследования,Метастазы в головной мозг; Общий анализ крови; Биохимический анализ крови; Онкомаркеры
tech2,1689,2026 Нейрохирургия 110. Глиобластома,Нейрохирургический клинический сценарий. Case 26. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Пациент 67 лет с нарастающей головной болью и единственным генерализованным судорожным припадком. МРТ с контрастным усилением выявило гетерогенное образование в,Лабораторные исследования; Инструментальные исследования,Глиобластома; Общий анализ крови; Биохимический анализ крови; ПСА (простат-специфический антиген)
tech2,1688,2026 Нейрохирургия 109. Апоплексия гипофиза,Нейрохирургический клинический сценарий. Case 22. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,"Пациент, мужчина 41 года, поступил с жалобами на сильнейшую головную боль, диплопию и снижение остроты зрения. МРТ выявило кровоизлияние в аденому гипофиза, КТ ",Лабораторные исследования; Инструментальные исследования,Апоплексия гипофиза; Уровень кортизола; Уровень АКТГ; Уровень пролактина
tech2,1687,2026 Нейрохирургия 108. Менингиома крыла основной кости,Нейрохирургический клинический сценарий. Case 20. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,"Женщина 55 лет обратилась с жалобами на нарастающий левосторонний проптоз, снижение остроты зрения левого глаза и периодические головные боли. МРТ выявила менин",Лабораторные исследования; Инструментальные исследования,Менингиома крыла основной кости; Общий анализ крови; С-реактивный белок (CRP); Скорость оседания эритроцитов (СОЭ)
tech2,1686,[archived] 107 v1,,Прочее,7,7,,"выключен, архив",2026-05-31,"Сценарий #107: Женщина 48 лет с прогрессирующей односторонней нейросенсорной тугоухостью, звоном в ухе и лёгким дисбалансом. МРТ выявила опухоль мостомозжечково",,
tech2,1685,2026 Нейрохирургия 106. Геморрагический инсульт доминантного полушария,Нейрохирургический клинический сценарий. Case 12. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Мужчина 62 лет с длительной артериальной гипертензией доставлен с острым развитием нарушения речи и слабости в правых конечностях. Цель сценария — диагностика г,Лабораторные исследования; Инструментальные исследования,"Гипертензивное внутримозговое кровоизлияние в доминантном полушарии; Общий анализ крови; Коагулограмма (ПВ/МНО, АЧТВ); Биохимия + глюкоза, электролиты, креатинин"
tech2,1684,2026 Нейрохирургия 105. Твёрдомозговая артериовенозная фистула,Нейрохирургический клинический сценарий. Case 7. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Мужчина 58 лет обратился с прогрессирующим пульсирующим шумом в ухе и нарастающей головной болью. Цель сценария — диагностика твёрдомозговой артериовенозной фис,Лабораторные исследования; Инструментальные исследования,"Твёрдомозговая артериовенозная фистула (dAVF); Общий анализ крови; Коагулограмма (ПВ/МНО, АЧТВ, фибриноген); Биохимия + креатинин/рСКФ (перед контрастной ангиографией)"
tech2,1683,2026 Нейрохирургия 104. Неразорвавшаяся аневризма передней соединительной артерии,Нейрохирургический клинический сценарий. Case 4. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Мужчина 45 лет направлен к нейрохирургу после случайного выявления аневризмы при обследовании по поводу головной боли. Цель сценария — оценка неразорвавшейся ан,Лабораторные исследования; Инструментальные исследования,"Неразорвавшаяся аневризма передней соединительной артерии; Общий анализ крови; Коагулограмма (ПВ/МНО, АЧТВ); Биохимия + креатинин/рСКФ (перед контрастной ангиографией)"
tech2,1682,2026 Нейрохирургия 103. Разрыв аневризмы средней мозговой артерии,Нейрохирургический клинический сценарий. Case 3. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Женщина 52 лет доставлена бригадой скорой помощи с внезапной сильнейшей головной болью. Цель сценария — диагностика субарахноидального кровоизлияния вследствие ,Лабораторные исследования; Инструментальные исследования,"Субарахноидальное кровоизлияние вследствие разрыва аневризмы; Общий анализ крови; Коагулограмма (ПВ/МНО, АЧТВ, фибриноген); Биохимия + электролиты (натрий — контроль гипонатриемии)"
tech2,1681,2026 Нейрохирургия 102. Кавернозная мальформация головного мозга,Нейрохирургический клинический сценарий. Case 2. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31,Мужчина 34 лет обратился в приёмное отделение с повторяющимися судорожными приступами. Цель сценария — провести дифференциальную диагностику внутримозгового обр,Лабораторные исследования; Инструментальные исследования,"Кавернозная мальформация головного мозга с симптоматической эпилепсией; Общий анализ крови; Коагулограмма (ПВ/МНО, АЧТВ, фибриноген); Биохимический анализ крови (глюкоза, электролиты, печёночные пробы, креатинин)"
tech2,1680,2026 Нейрохирургия 101. АВМ головного мозга,"Клинический сценарий: АВМ головного мозга у мужчины 35 лет с дебютом парциальных судорог. Диагностика, классификация по Spetzler-Martin, хирургическое лечение. Источник: 100 Case Reviews in Neurosurgery, Case 1.",Нейрохирургия,23,23,22,публичный,2026-05-31,"Мужчина, 35 лет, без значимых заболеваний в анамнезе. Поступил в нейрохирургическое отделение по экстренным показаниям с дебютом парциальных судорог и выраженны",Лабораторные исследования; Инструментальные исследования,"АВМ головного мозга левой теменно-затылочной области, Grade 3 по Spetzler-Martin; Общий анализ крови, коагулограмма (ПВ/МНО, АЧТВ, тромбоциты); Биохимия: глюкоза, натрий, калий, креатинин, АЛТ/АСТ; Уровень пролактина крови (для подтверждения истинного эпилептического приступа)"
tech2,1679,2026 Нейрохирургия 101. АВМ головного мозга copy,"Клинический сценарий: АВМ головного мозга у мужчины 35 лет с дебютом парциальных судорог. Диагностика, классификация по Spetzler-Martin, хирургическое лечение. Источник: 100 Case Reviews in Neurosurgery, Case 1.",Нейрохирургия,23,23,,"копия, публичный",2026-05-31,"Мужчина, 35 лет, без значимых заболеваний в анамнезе. Поступил в нейрохирургическое отделение по экстренным показаниям с дебютом парциальных судорог и выраженны",Лабораторные исследования; Инструментальные исследования,"АВМ головного мозга левой теменно-затылочной области, Grade 3 по Spetzler-Martin; Общий анализ крови, коагулограмма (ПВ/МНО, АЧТВ, тромбоциты); Биохимия: глюкоза, натрий, калий, креатинин, АЛТ/АСТ; Уровень пролактина крови (для подтверждения истинного эпилептического приступа)"
tech2,1678,ХГБН с лекарственным абузусом copy,Клинический сценарий: хроническая головная боль напряжения с лекарственным абузусом (ЛИГБ).,Неврология — головная боль,19,19,,"копия, публичный",2026-05-30,"Женщина, 38 лет, менеджер по продажам, на приёме у терапевта. Проведите обследование, установите диагноз, назначьте лечение и разработайте план диспансерного на",Назначение лабораторных и инструментальных исследований; Диспансерное наблюдение,"Хроническая ГБН с напряжением перикраниальных мышц. Лекарственно-индуцированная головная боль (ЛИГБ).; Диагностика клиническая, дополнительные исследования не требуются (нет «сигналов опасности»).; Рекомендовать ведение дневника головной боли для уточнения числа дней с ГБ и числа дней приёма анальгетиков в месяц.; Хроническая ГБН, сочетающаяся с напряжением перикраниальных мышц. ЛИГБ, связанная с избыточным приёмом анальгетиков, содержащих компоненты из разных классов."
tech2,1677,ГБН эпизодическая copy,"Клинический сценарий: эпизодическая головная боль напряжения. Модуль 1, сценарий 4.",Неврология — головная боль,19,19,,"копия, публичный",2026-05-30,"Мужчина, 45 лет, программист. Обратился к терапевту с жалобами на частые головные боли. Проведите дифференциальную диагностику, установите диагноз, назначьте ле",Обследование; Диспансерное наблюдение,"Частая эпизодическая ГБН с напряжением перикраниальных мышц.; Диагноз клинический. Дополнительных инструментальных и лабораторных исследований не требуется (типичная картина, нет «сигналов опасности»).; Рекомендовать ведение дневника ГБ для уточнения числа дней с болью и дней приёма анальгетиков.; Поведенческая терапия: разъяснить природу ГБН, связь с позным напряжением и стрессом, рекомендовать перерывы в работе, коррекцию рабочего места."
